time,open,high,low,close,volume
2025-09-19 03:20:00,117275.3,117281.2,117260.1,117260.1,0.00530729
2025-09-19 03:25:00,117192.4,117212.4,117192.4,117212.4,0.00125581
2025-09-19 03:30:00,117081.7,117084.6,117008.4,117045.2,0.13245453
2025-09-19 03:35:00,117000.1,117000.1,116945.4,116946.1,0.00143022
2025-09-19 03:40:00,116952.7,117005.5,116925.0,116979.2,0.22222323
2025-09-19 03:45:00,116927.0,116927.0,116914.7,116914.7,0.0113
2025-09-19 03:50:00,116929.4,116949.8,116929.4,116949.8,0.08575987
2025-09-19 03:55:00,116969.2,116969.2,116969.2,116969.2,0.0005
2025-09-19 04:00:00,116988.9,116988.9,116817.3,116817.3,0.00271219
2025-09-19 04:05:00,116810.9,116811.8,116810.9,116811.8,0.00323716
2025-09-19 04:10:00,116774.7,116774.7,116716.0,116741.7,0.06935924
2025-09-19 04:15:00,116790.1,116881.1,116790.1,116841.1,0.10073461
2025-09-19 04:20:00,116898.9,116989.8,116898.9,116979.6,0.01904518
2025-09-19 04:25:00,116994.3,117004.3,116992.4,117001.9,0.00088151
2025-09-19 04:30:00,116976.9,117001.4,116976.9,117001.4,0.003255
2025-09-19 04:35:00,117001.4,117001.4,117001.4,117001.4,0.0
2025-09-19 04:40:00,117026.3,117026.3,117026.3,117026.3,0.00024522
2025-09-19 04:45:00,117025.7,117032.6,117025.7,117032.6,0.00157295
2025-09-19 04:50:00,117032.6,117032.6,117032.6,117032.6,0.0025105
2025-09-19 04:55:00,117032.6,117032.6,116984.3,116984.3,0.00417365
2025-09-19 05:00:00,116999.9,116999.9,116967.2,116971.0,0.0043787
2025-09-19 05:05:00,116943.3,116943.3,116943.3,116943.3,0.00083638
2025-09-19 05:10:00,117011.0,117011.0,117011.0,117011.0,0.000685
2025-09-19 05:15:00,116964.8,116964.8,116962.0,116962.0,0.00168585
2025-09-19 05:20:00,116962.0,116962.0,116962.0,116962.0,0.0
