time,open,high,low,close,volume
2025-09-21 03:24:00,33.03,33.03,33.03,33.03,0.0
2025-09-21 03:25:00,33.03,33.03,33.03,33.03,0.0
2025-09-21 03:26:00,33.14,33.14,33.14,33.14,5.26522533
2025-09-21 03:27:00,33.17,33.17,33.17,33.17,1.21942558
2025-09-21 03:28:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:29:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:30:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:31:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:32:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:33:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:34:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:35:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:36:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:37:00,33.17,33.17,33.17,33.17,0.0
2025-09-21 03:38:00,33.18,33.18,33.18,33.18,14.79132
2025-09-21 03:39:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:40:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:41:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:42:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:43:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:44:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:45:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:46:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:47:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:48:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:49:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:50:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:51:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:52:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:53:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:54:00,33.18,33.18,33.18,33.18,0.0
2025-09-21 03:55:00,33.23,33.24,33.23,33.24,1.17024192
2025-09-21 03:56:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 03:57:00,33.24,33.24,33.24,33.24,0.0
2025-09-21 03:58:00,33.24,33.24,33.24,33.24,0.0
